Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
318,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
319,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
320,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
321,28.0,CartPole-v1,100000.0,0.0001,0.99,5,5
322,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
323,34.0,CartPole-v1,100000.0,0.0001,0.99,5,5
324,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
325,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
326,27.0,CartPole-v1,100000.0,0.0001,0.99,5,5
327,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
328,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
329,45.0,CartPole-v1,100000.0,0.0001,0.99,5,5
330,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
331,47.0,CartPole-v1,100000.0,0.0001,0.99,5,5
332,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
333,43.0,CartPole-v1,100000.0,0.0001,0.99,5,5
334,31.0,CartPole-v1,100000.0,0.0001,0.99,5,5
335,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
336,27.0,CartPole-v1,100000.0,0.0001,0.99,5,5
337,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
338,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
339,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
340,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
341,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
342,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
343,8.0,CartPole-v1,100000.0,0.0001,0.99,5,5
344,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
345,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
346,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
347,50.0,CartPole-v1,100000.0,0.0001,0.99,5,5
348,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
349,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
350,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
351,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
352,39.0,CartPole-v1,100000.0,0.0001,0.99,5,5
353,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
354,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
355,31.0,CartPole-v1,100000.0,0.0001,0.99,5,5
356,33.0,CartPole-v1,100000.0,0.0001,0.99,5,5
357,41.0,CartPole-v1,100000.0,0.0001,0.99,5,5
358,26.0,CartPole-v1,100000.0,0.0001,0.99,5,5
359,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
360,24.0,CartPole-v1,100000.0,0.0001,0.99,5,5
361,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
362,45.0,CartPole-v1,100000.0,0.0001,0.99,5,5
363,28.0,CartPole-v1,100000.0,0.0001,0.99,5,5
364,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
365,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
366,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
367,37.0,CartPole-v1,100000.0,0.0001,0.99,5,5
368,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
369,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
370,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
371,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
372,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
373,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
374,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
375,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
376,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
377,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
378,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
379,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
380,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
381,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
382,39.0,CartPole-v1,100000.0,0.0001,0.99,5,5
383,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
384,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
385,41.0,CartPole-v1,100000.0,0.0001,0.99,5,5
386,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
387,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
388,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
389,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
390,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
391,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
392,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
393,41.0,CartPole-v1,100000.0,0.0001,0.99,5,5
394,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
395,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
396,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
397,31.0,CartPole-v1,100000.0,0.0001,0.99,5,5
398,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
399,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
400,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
401,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
402,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
403,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
404,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
405,44.0,CartPole-v1,100000.0,0.0001,0.99,5,5
406,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
407,29.0,CartPole-v1,100000.0,0.0001,0.99,5,5
408,28.0,CartPole-v1,100000.0,0.0001,0.99,5,5
409,28.0,CartPole-v1,100000.0,0.0001,0.99,5,5
410,27.0,CartPole-v1,100000.0,0.0001,0.99,5,5
411,26.0,CartPole-v1,100000.0,0.0001,0.99,5,5
