Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
403,17.0,CartPole-v1,100000.0,0.001,0.99,5
404,16.0,CartPole-v1,100000.0,0.001,0.99,5
405,18.0,CartPole-v1,100000.0,0.001,0.99,5
406,37.0,CartPole-v1,100000.0,0.001,0.99,5
407,33.0,CartPole-v1,100000.0,0.001,0.99,5
408,18.0,CartPole-v1,100000.0,0.001,0.99,5
409,16.0,CartPole-v1,100000.0,0.001,0.99,5
410,14.0,CartPole-v1,100000.0,0.001,0.99,5
411,10.0,CartPole-v1,100000.0,0.001,0.99,5
412,11.0,CartPole-v1,100000.0,0.001,0.99,5
413,30.0,CartPole-v1,100000.0,0.001,0.99,5
414,16.0,CartPole-v1,100000.0,0.001,0.99,5
415,35.0,CartPole-v1,100000.0,0.001,0.99,5
416,15.0,CartPole-v1,100000.0,0.001,0.99,5
417,31.0,CartPole-v1,100000.0,0.001,0.99,5
418,25.0,CartPole-v1,100000.0,0.001,0.99,5
419,17.0,CartPole-v1,100000.0,0.001,0.99,5
420,46.0,CartPole-v1,100000.0,0.001,0.99,5
421,10.0,CartPole-v1,100000.0,0.001,0.99,5
422,22.0,CartPole-v1,100000.0,0.001,0.99,5
423,11.0,CartPole-v1,100000.0,0.001,0.99,5
424,12.0,CartPole-v1,100000.0,0.001,0.99,5
425,19.0,CartPole-v1,100000.0,0.001,0.99,5
426,19.0,CartPole-v1,100000.0,0.001,0.99,5
427,12.0,CartPole-v1,100000.0,0.001,0.99,5
428,18.0,CartPole-v1,100000.0,0.001,0.99,5
429,46.0,CartPole-v1,100000.0,0.001,0.99,5
430,59.0,CartPole-v1,100000.0,0.001,0.99,5
431,11.0,CartPole-v1,100000.0,0.001,0.99,5
432,13.0,CartPole-v1,100000.0,0.001,0.99,5
433,9.0,CartPole-v1,100000.0,0.001,0.99,5
434,14.0,CartPole-v1,100000.0,0.001,0.99,5
435,11.0,CartPole-v1,100000.0,0.001,0.99,5
436,15.0,CartPole-v1,100000.0,0.001,0.99,5
437,20.0,CartPole-v1,100000.0,0.001,0.99,5
438,10.0,CartPole-v1,100000.0,0.001,0.99,5
439,13.0,CartPole-v1,100000.0,0.001,0.99,5
440,11.0,CartPole-v1,100000.0,0.001,0.99,5
441,15.0,CartPole-v1,100000.0,0.001,0.99,5
442,20.0,CartPole-v1,100000.0,0.001,0.99,5
443,27.0,CartPole-v1,100000.0,0.001,0.99,5
444,14.0,CartPole-v1,100000.0,0.001,0.99,5
445,18.0,CartPole-v1,100000.0,0.001,0.99,5
446,16.0,CartPole-v1,100000.0,0.001,0.99,5
447,16.0,CartPole-v1,100000.0,0.001,0.99,5
448,42.0,CartPole-v1,100000.0,0.001,0.99,5
449,10.0,CartPole-v1,100000.0,0.001,0.99,5
450,27.0,CartPole-v1,100000.0,0.001,0.99,5
451,68.0,CartPole-v1,100000.0,0.001,0.99,5
452,24.0,CartPole-v1,100000.0,0.001,0.99,5
453,28.0,CartPole-v1,100000.0,0.001,0.99,5
454,14.0,CartPole-v1,100000.0,0.001,0.99,5
455,15.0,CartPole-v1,100000.0,0.001,0.99,5
456,38.0,CartPole-v1,100000.0,0.001,0.99,5
457,18.0,CartPole-v1,100000.0,0.001,0.99,5
458,9.0,CartPole-v1,100000.0,0.001,0.99,5
459,27.0,CartPole-v1,100000.0,0.001,0.99,5
460,23.0,CartPole-v1,100000.0,0.001,0.99,5
461,82.0,CartPole-v1,100000.0,0.001,0.99,5
462,37.0,CartPole-v1,100000.0,0.001,0.99,5
463,24.0,CartPole-v1,100000.0,0.001,0.99,5
464,32.0,CartPole-v1,100000.0,0.001,0.99,5
465,15.0,CartPole-v1,100000.0,0.001,0.99,5
466,28.0,CartPole-v1,100000.0,0.001,0.99,5
467,14.0,CartPole-v1,100000.0,0.001,0.99,5
468,11.0,CartPole-v1,100000.0,0.001,0.99,5
469,13.0,CartPole-v1,100000.0,0.001,0.99,5
470,21.0,CartPole-v1,100000.0,0.001,0.99,5
471,24.0,CartPole-v1,100000.0,0.001,0.99,5
472,47.0,CartPole-v1,100000.0,0.001,0.99,5
473,34.0,CartPole-v1,100000.0,0.001,0.99,5
474,12.0,CartPole-v1,100000.0,0.001,0.99,5
475,20.0,CartPole-v1,100000.0,0.001,0.99,5
